dfc_start,dfc_end,orig_start,orig_end,fst,se,sites_available,sites_used,n1_eff_indiv_Bana,n1_eff_seq_Bana,n2_eff_indiv_Nagare,n2_eff_seq_Nagare,coverage_frac_pop1,coverage_frac_pop2,mean_ref_af_pop1,mean_alt_af_pop1,mean_other_af_pop1,mean_ref_af_pop2,mean_alt_af_pop2,mean_other_af_pop2
36000001,37000000,16200684,17200683,0.0002946846703888,0.0002982846311399,8263,8263,94.2,188.5,98.2,196.3,0.9816675719050902,0.981668821823586,0.9751172567768508,0.0065503151282395,0.018332428094909706,0.9751073925963144,0.0065614292272715,0.018331178176414095
37000001,38000000,15200684,16200683,5.718935214552466e-05,0.0002405717580907,11133,11133,93.8,187.6,97.7,195.4,0.9771499480652861,0.9771553333507145,0.9690155264887356,0.0081344215765505,0.022850051934713934,0.9690716810470782,0.0080836523036363,0.022844666649285507
38000001,39000000,14200684,15200683,0.0,0.0002803693746531,8555,8553,94.0,188.0,98.0,195.9,0.9792254065800953,0.9794411990886698,0.9730986276010588,0.0061267789790365,0.020774593419904692,0.9733985758456308,0.0060426232430389,0.02055880091133027
39000001,40000000,13200684,14200683,0.0,0.0002114667274902,16271,16271,94.2,188.4,98.2,196.3,0.9814112290168224,0.9815770005961745,0.9734679766614696,0.0079432523553529,0.018588770983177544,0.9737147956257364,0.0078622049704381,0.018422999403825524
40000001,41000000,12200684,13200683,0.000551622551058,0.0002758799005354,8001,8001,94.0,187.9,97.8,195.7,0.9785276756591677,0.9784303759873855,0.9712597653256376,0.00726791033353,0.021472324340832374,0.9710839238024248,0.0073464521849607,0.021569624012614492
41000001,42000000,11200684,12200683,0.000104745101851,0.0002571035123238,12456,12455,94.2,188.3,98.1,196.2,0.9808099939039182,0.9808417726563241,0.974448010600606,0.0063619833033122,0.01919000609608176,0.9743566989958976,0.0064850736604265,0.019158227343675893
42000001,43000000,10200684,11200683,0.0,0.0001850299497564,26378,26375,94.0,188.1,98.0,196.0,0.9799466169990949,0.9798362006758058,0.9715696978080256,0.0083769191910693,0.0200533830009051,0.9713960527846204,0.0084401478911854,0.020163799324194223
43000001,44000000,9200684,10200683,0.0,0.0002157780084828,14141,14141,94.0,188.0,97.9,195.8,0.9793093851840275,0.9791746154819274,0.97176871222107,0.0075406729629576,0.020690614815972425,0.9715659424685336,0.0076086730133938,0.02082538451807264
44000001,45000000,8200684,9200683,0.0,0.000211592878495,11262,11262,94.0,188.0,98.0,195.9,0.9792629469042046,0.9793628128961441,0.972316939356558,0.0069460075476465,0.020737053095795446,0.9724676039012802,0.006895208994864,0.020637187103855825
45000001,46000000,7200684,8200683,0.0001588930300641,0.0002284075635419,11262,11261,94.2,188.3,98.0,196.1,0.9804813750405454,0.9805032903965328,0.9725425163789748,0.0079388586615706,0.01951862495945458,0.9726093765162,0.0078939138803328,0.019496709603467145
46000001,47000000,6200684,7200683,0.0003068587766818,0.0001938044135465,21245,21244,94.0,187.9,97.8,195.7,0.9786757808508194,0.9786527684389682,0.9695943525950984,0.009081428255721,0.02132421914918059,0.969615415421362,0.0090373530176062,0.02134723156103182
47000001,48000000,5200684,6200683,0.0,0.0002036457391614,20549,20549,94.1,188.2,98.0,196.0,0.9802646341018009,0.9802059714706539,0.9731172666093298,0.007147367492471,0.019735365898199155,0.97302861199889,0.0071773594717639,0.019794028529346086
48000001,49000000,4200684,5200683,0.0,0.000236826912792,14281,14281,94.2,188.5,98.2,196.3,0.9816387169442646,0.9816211988350979,0.9744171880958852,0.0072215288483795,0.01836128305573532,0.9743778449546104,0.0072433538804875,0.01837880116490206
49000001,50000000,3200684,4200683,0.0,0.0001811913451603,21210,21209,94.3,188.6,98.2,196.4,0.9822771054150421,0.982210667857472,0.9750906570444337,0.0071864483706084,0.01772289458495795,0.9750674811861952,0.0071431866712768,0.01778933214252796
50000001,51000000,2200684,3200683,0.0003858352995745,0.0001733963188177,29870,29864,93.9,187.8,97.8,195.7,0.978334984308629,0.9784386133930294,0.9704398482822422,0.0078951360263868,0.021665015691371033,0.9705773686565417,0.0078612447364877,0.02156138660697065
51000001,52000000,1200684,2200683,0.0001890064998401,0.0002003686568555,18483,18483,94.0,188.0,98.0,195.9,0.9793870467503769,0.9795125099584926,0.9709917644291012,0.0083952823212757,0.020612953249623124,0.9711137812496488,0.0083987287088438,0.020487490041507444
52000001,53000000,200684,1200683,0.0001306168988061,0.0002468812023275,17861,17859,94.8,189.5,98.7,197.4,0.9868378321609144,0.9869319991427975,0.981119917359025,0.0057179148018893,0.013162167839085661,0.9811884075455628,0.0057435915972347,0.013068000857202498
